# time ep bcc_intrp hcp_intrp
1.675499999999999901e+01 4.122414459839018885e-03 -1.113898263652240133e-06 -6.274753866161687046e-14
1.676999999999999957e+01 4.268067164962918714e-03 -2.992058026777707859e-07 -4.091259182386147323e-13
1.678500000000000014e+01 4.342066091393620431e-03 7.165853578413164278e-06 -1.142048546035276004e-12
1.680000000000000071e+01 4.275018357942528269e-03 2.030959955648778509e-05 -1.293099592708918055e-12
1.681500000000000128e+01 4.508254050470811292e-03 3.763136514291282644e-05 -1.546477793298183517e-12
1.682999999999999829e+01 4.738242060742275941e-03 5.734256753673644565e-05 -1.161660421080858206e-12
1.684499999999999886e+01 4.561658889601777345e-03 7.760063394552480735e-05 -7.081205190194957994e-13
1.685999999999999943e+01 4.578555446288407049e-03 9.671363097709027271e-05 -2.416626516204306815e-13
1.687500000000000000e+01 4.541705617502944659e-03 1.133036625985798542e-04 1.224680618630109239e-13
1.689000000000000057e+01 4.437799437549766468e-03 1.264138879522044108e-04 -1.831237128227777533e-13
1.690500000000000114e+01 4.119091994523593758e-03 1.355426772179030911e-04 -6.473666331077611929e-13
1.692000000000000171e+01 4.324344796625440024e-03 1.406018695422600997e-04 -1.269221844637466218e-12
1.693499999999999872e+01 4.246973311990559496e-03 1.418190668208032905e-04 -1.481813440335522521e-12
1.694999999999999929e+01 4.115134147203297621e-03 1.396187480438687003e-04 -1.398308830746309468e-12
1.696499999999999986e+01 4.391817343115944627e-03 1.345138643792200602e-04 -7.913343404265950989e-13
1.698000000000000043e+01 4.742987811216015093e-03 1.270247774647928170e-04 -3.993349873896468939e-13
1.699500000000000099e+01 4.560108320594613573e-03 1.176280807503127197e-04 6.086746831410193166e-14
1.701000000000000156e+01 4.536239573206285458e-03 1.067304234206401870e-04 -2.054959830121875656e-13
1.702499999999999858e+01 4.293603599022949302e-03 9.466111698803189936e-05 -6.883928531529532816e-13
1.703999999999999915e+01 4.174980727402355374e-03 8.167852423345987791e-05 -1.215734603994061117e-12
1.705499999999999972e+01 4.291480169031608449e-03 6.798670080958715627e-05 -1.503823568408707408e-12
1.707000000000000028e+01 4.610255747223013234e-03 5.376005505158683816e-05 -1.666866011295745455e-12
1.708500000000000085e+01 4.580541015502759272e-03 3.917504440693589569e-05 -1.306438573452281885e-12
1.710000000000000142e+01 4.643492825184031281e-03 2.444841863064263333e-05 -5.946297929924511362e-13
1.711499999999999844e+01 4.491048987622286992e-03 9.880110195080181297e-06 -2.683264063978105456e-13
1.712999999999999901e+01 4.457057919508372601e-03 -4.104614016421899139e-06 -2.143610031239808229e-13
1.714499999999999957e+01 4.743098022914143952e-03 -1.692281205939487809e-05 -4.911352835634799496e-13
1.716000000000000014e+01 4.670000713652006086e-03 -2.782148624234636130e-05 -9.828847012857452652e-13
1.717500000000000071e+01 4.790105577303832574e-03 -3.589317792284943073e-05 -1.463793862379254627e-12
1.719000000000000128e+01 4.805473272944837948e-03 -4.012502855364833690e-05 -1.649645672539967959e-12
