# theta phi
5.169108702108039211e+01 1.262457440185854267e+02
1.269814032433705648e+02 5.830551435416761308e+01
-1.260530491330189875e+02 5.417234807895598436e+01
3.512927771835798296e+01 6.037743056380935514e+01
3.952732105592859568e+01 1.213286262130133224e+02
-1.302263840675096276e+02 1.253620578886312416e+02
1.501973065898039579e+02 5.613266964891207067e+01
-1.189364159833332195e+02 5.709853847694844120e+01
-1.326823493432558507e+02 1.238365471329704093e+02
-1.266646132680091199e+02 1.279631115318109948e+02
5.344899649350055881e+01 5.803703867851405818e+01
6.337061464494628638e+01 5.587041704952847709e+01
-3.767611439969576281e+01 5.868050749487075279e+01
-5.960322941144136166e+01 1.246073818944729084e+02
1.448155838943717413e+02 1.210560490735375510e+02
-1.357480410229169365e+02 1.228901898958880565e+02
1.768201680839511312e+02 9.016150394271545565e+01
1.238996612531987154e+02 6.001419148551998717e+01
-3.001385421011970678e+01 5.546279762805677649e+01
-1.333067230659999325e+02 5.617057241914363885e+01
5.848703631452588070e+01 1.163710970160037306e+02
-3.448411002178961127e+01 5.548940544913758544e+01
1.152818795116190103e+02 5.572802139728299409e+01
-3.357046059924698511e+01 5.857270501402148000e+01
-3.070149771432439323e+01 6.154872537113566722e+01
1.550380594710192952e+02 1.208641719100367453e+02
4.948348406018968149e+01 5.866947423068850043e+01
1.449267082622300791e+02 1.200436810707339674e+02
5.493497829407895949e+01 5.565207961503699607e+01
3.511902829795436531e+01 6.219890253116358281e+01
1.354881142712131918e+02 5.783178387882071547e+01
5.750414747493191214e+01 5.689635615866589546e+01
4.002760634157064601e+01 5.800584024230739999e+01
-1.272213205082883007e+02 5.829518884881338181e+01
-1.405022052314903931e+02 5.851408014732773211e+01
3.235381599456575685e+01 5.615167545521793357e+01
-1.415741608296650895e+02 1.256039399629505624e+02
-1.517776276961467659e+02 1.230868917802806379e+02
1.262202974717303192e+02 5.856394235044235330e+01
1.358430417267960877e+02 1.206503194090729636e+02
1.384224966208226419e+02 5.670921733897159100e+01
-3.573429270750455089e+01 5.316432364821195478e+01
