#grain_i_ID grain_j_ID phi1 Phi phi2 angle
142 166 1.213637e+02 4.033225e+01 2.023755e+02 5.372551e+01
143 144 2.468425e+01 1.243488e+02 6.378792e+01 5.305848e+01
143 178 5.836738e+00 1.505861e+02 4.642667e+01 4.976016e+01
143 243 3.248207e+02 1.124236e+02 3.934451e+01 5.901116e+01
144 178 2.770648e+02 2.892782e+01 7.988980e+01 2.908428e+01
144 243 2.100103e+02 5.324498e+01 1.563216e+02 4.790316e+01
145 146 2.476140e+02 1.456835e+02 9.863399e+01 4.594328e+01
145 218 1.735660e+02 1.144721e+02 2.407104e+02 3.745735e+01
146 152 5.453805e+01 8.111237e+01 8.049187e+01 3.838800e+01
146 218 1.731291e+02 6.110767e+01 2.245883e+01 3.600340e+01
147 148 3.407568e+02 9.395678e+01 3.317666e+02 3.372791e+01
147 326 1.497279e+02 1.580104e+02 2.259003e+02 2.593048e+01
148 149 1.224302e+02 1.001716e+02 4.219965e+01 5.136055e+01
148 326 3.254364e+01 1.076176e+02 5.745131e+01 5.205443e+01
149 169 2.780148e+02 1.199943e+02 2.006983e+02 3.596546e+01
149 326 2.451396e+02 8.682957e+01 1.571218e+02 3.426993e+01
150 173 2.817616e+01 8.274812e+01 2.894080e+02 3.582169e+01
150 177 9.330254e+01 1.114336e+02 1.184962e+02 3.517474e+01
150 211 2.351859e+02 2.665562e+01 1.355689e+02 2.870703e+01
151 164 2.577703e+02 7.588825e+01 2.777813e+01 3.207959e+01
151 168 2.327925e+02 5.251576e+01 3.184875e+02 5.362930e+01
151 231 2.180397e+02 1.108304e+02 2.788541e+01 4.712367e+01
151 250 2.164670e+02 6.265478e+01 3.350293e+02 4.700615e+01
152 218 4.469777e+01 1.098348e+02 3.152050e+02 5.994642e+01
152 226 3.123684e+02 8.398842e+01 1.257246e+02 5.660804e+01
153 161 9.875776e+01 3.763308e+01 8.925966e+01 3.844736e+01
154 161 2.528373e+01 4.971159e+01 2.938991e+02 5.656735e+01
154 198 2.320724e+02 9.966152e+01 1.093650e+02 4.486258e+01
155 198 2.068902e+02 1.322591e+02 2.430451e+02 5.923987e+01
155 257 3.560843e+02 1.299868e+02 3.246223e+02 5.212150e+01
156 166 2.513016e+02 1.264895e+02 9.111907e+01 4.103317e+01
156 175 1.866397e+02 1.118692e+02 1.680584e+02 2.632081e+01
156 182 4.739379e+01 1.159005e+02 2.463809e+02 5.024058e+01
156 257 1.349493e+02 1.570945e+02 1.453304e+02 2.511954e+01
157 163 3.061256e+02 6.776096e+01 2.874771e+01 5.454856e+01
157 164 4.424738e+01 1.101205e+02 1.342358e+02 5.913458e+01
157 174 5.265431e+01 1.452772e+02 3.213097e+02 3.474804e+01
158 218 2.250266e+02 1.099059e+02 4.512618e+01 5.991374e+01
159 218 2.249562e+02 1.100554e+02 4.512740e+01 5.995479e+01
160 218 2.249333e+02 1.101344e+02 4.568228e+01 5.965368e+01
161 169 1.705911e+02 8.806962e+01 3.207981e+01 3.329816e+01
161 193 1.385041e+02 1.105973e+02 2.226143e+02 5.955040e+01
161 198 2.913131e+02 1.412420e+02 1.426747e+02 4.947481e+01
162 173 2.886988e+02 6.984102e+01 2.156460e+02 4.725811e+01
162 174 2.744318e+02 1.383983e+02 3.173904e+01 4.942887e+01
162 211 4.540937e+01 7.061990e+01 2.245757e+02 5.951818e+01
163 164 4.515810e+01 1.046540e+02 6.294868e+01 5.094124e+01
163 174 9.232059e+00 1.174561e+02 2.312543e+02 4.977861e+01
163 190 2.235125e+02 3.622003e+01 1.713455e+02 4.985969e+01
