#grainID x y area perimeter subBoundaryLength diameter equivalentPerimeter shapeFactor isBoundary hasHole isInclusion numNeighbors phi1 Phi phi2
111 -8.937311e+01 -3.239974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 7.080784e+01 8.476108e+01 3.245680e+02
112 -9.006592e+01 -3.199974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 6 2.501602e+02 1.206506e+02 1.434961e+02
113 -9.075874e+01 -3.239974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 1.685046e+02 3.800486e+01 2.878752e+02
114 -1.898312e+02 -3.199974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.306341e+01 8.778573e+01 2.195735e+02
115 -1.926025e+02 -3.199974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.748747e+02 5.048331e+01 2.671479e+02
116 -2.009163e+02 -3.199974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.703174e+02 1.405179e+02 8.645532e+01
117 -2.023019e+02 -3.199974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.169407e+02 1.090705e+02 7.820416e+01
118 -4.434015e+01 -3.279974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.313174e+02 7.749713e+01 3.476083e+02
119 -1.205498e+02 -3.279974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.146954e+02 8.449008e+01 1.430383e+02
120 -1.912169e+02 -3.279974e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.495586e+02 2.232587e+01 2.392975e+02
121 -4.503296e+01 -3.399973e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 5.722702e+00 1.746547e+01 1.344927e+02
122 -8.798748e+01 -3.066062e+01 1.274769e+01 2.401758e+01 4.618765e-01 7.258959e+00 1.265671e+01 1.897617e+00 0 0 0 9 4.236087e+01 1.187596e+02 2.506060e+00
123 -1.025366e+02 -3.359973e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 1.350782e+02 1.677282e+02 8.934245e+01
124 -8.521622e+01 -3.479972e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.408010e+02 8.586174e+01 3.376589e+02
125 -1.950274e+02 -3.459972e+01 1.108495e+00 4.618765e+00 0.000000e+00 1.665319e+00 3.732259e+00 1.237525e+00 0 0 1 1 1.702973e+02 1.404807e+02 8.644889e+01
126 -4.572578e+01 -3.519972e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 6.725379e+00 1.756402e+01 1.336029e+02
127 -1.222742e+02 -1.509916e+01 1.206840e+03 1.885694e+02 0.000000e+00 5.195831e+01 1.231487e+02 1.531234e+00 1 1 0 10 3.174869e+02 1.119409e+02 1.319901e+02
128 -2.023019e+02 -3.519972e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.284569e+01 8.765624e+01 2.197591e+02
