#grainID	x	y	grainSize	perimeter	boundarySize	numNeighbors
384	-2.459655e+01	-8.890600e+01	641	9.329906e+01	202	12
385	-7.620963e+00	-1.019992e+02	1	2.771259e+00	6	2
386	-2.178902e+02	-9.899921e+01	54	2.586508e+01	56	6
387	-2.221308e+02	-9.964058e+01	29	1.939881e+01	42	3
388	-5.542628e+00	-9.227869e+01	462	7.736313e+01	146	8
389	-2.217007e+01	-1.031992e+02	1	2.771259e+00	6	2
390	-6.789585e+01	-1.027992e+02	2	4.618765e+00	10	3
391	-1.563452e+02	-1.027992e+02	3	5.542518e+00	12	2
392	-2.047641e+02	-8.818799e+01	1168	1.228592e+02	266	14
393	-6.651022e+01	-1.039992e+02	1	2.771259e+00	6	2
394	-6.789585e+01	-1.039992e+02	1	2.771259e+00	6	3
395	-6.651022e+01	-1.047992e+02	1	2.771259e+00	6	4
396	-6.720303e+01	-1.051992e+02	1	2.771259e+00	6	4
397	-1.240138e+02	-1.051992e+02	1	2.771259e+00	6	3
398	-2.169376e+02	-1.031492e+02	16	1.570380e+01	34	5
399	-6.651022e+01	-1.055992e+02	1	2.771259e+00	6	4
400	-1.790828e+02	-9.167285e+01	1060	1.173166e+02	254	14
401	-2.161582e+02	-1.055992e+02	1	2.771259e+00	6	4
402	-2.715119e+02	-9.747673e+01	284	5.932567e+01	115	4
403	-2.756003e+02	-1.052355e+02	7	9.451888e+00	18	3
404	-2.764881e+02	-1.059992e+02	1	3.109376e+00	5	3
405	-8.320202e+01	-9.804734e+01	399	9.237530e+01	200	9
406	-1.152095e+02	-9.909975e+01	185	5.912019e+01	135	6
407	-1.378701e+02	-1.067991e+02	1	2.771259e+00	6	1
408	-1.510336e+02	-1.063991e+02	1	2.771259e+00	6	1
409	-2.149615e+02	-1.054173e+02	11	1.293254e+01	28	4
410	-6.581740e+01	-1.075991e+02	1	2.771259e+00	6	2
411	-1.299028e+02	-1.073991e+02	2	4.618765e+00	10	1
412	-1.323276e+02	-1.073325e+02	3	6.466271e+00	14	1
413	-1.361381e+02	-1.069991e+02	2	4.618765e+00	10	1
414	-2.127464e+02	-1.031765e+02	53	2.771259e+01	60	7
415	-6.651022e+01	-1.079991e+02	1	2.771259e+00	6	3
416	-9.411622e+01	-1.070761e+02	13	1.293254e+01	28	3
417	-1.267851e+02	-1.083991e+02	1	2.771259e+00	6	2
418	-1.271315e+02	-1.077991e+02	4	8.313777e+00	18	4
419	-1.346370e+02	-1.078658e+02	3	6.466271e+00	14	1
420	-1.364845e+02	-1.083991e+02	1	2.771259e+00	6	1
421	-1.382165e+02	-1.081991e+02	2	4.618765e+00	10	1
422	-1.399486e+02	-1.079991e+02	1	2.771259e+00	6	1
423	-1.471019e+02	-1.067691e+02	40	5.727269e+01	131	4
424	-2.321530e+02	-1.025405e+02	150	4.711140e+01	102	8
425	-3.256229e+01	-1.091991e+02	1	2.771259e+00	6	2
426	-6.581740e+01	-1.091991e+02	1	2.771259e+00	6	3
427	-1.832229e+02	-1.048453e+02	52	5.357768e+01	116	4
428	-2.240197e+02	-1.052492e+02	144	4.711140e+01	102	8
429	-2.316773e+02	-1.084791e+02	5	8.313777e+00	18	4
430	-2.334786e+02	-1.091991e+02	1	2.771259e+00	6	5
431	-2.009163e+01	-1.099991e+02	1	2.771259e+00	6	2
432	-3.256229e+01	-1.099991e+02	1	2.771259e+00	6	3
433	-6.581740e+01	-1.099991e+02	1	2.771259e+00	6	3
434	-9.699407e+01	-1.095991e+02	1	2.771259e+00	6	4
435	-9.768688e+01	-1.099991e+02	1	2.771259e+00	6	4
436	-1.011772e+02	-9.993625e+01	502	1.062316e+02	256	18
437	-1.227244e+02	-1.078102e+02	36	2.217007e+01	48	7
438	-1.253995e+02	-1.095991e+02	2	4.618765e+00	10	4
439	-2.763786e+02	-1.084577e+02	6	1.092812e+01	19	3
440	-3.186948e+01	-1.103991e+02	1	2.771259e+00	6	2
441	-9.699407e+01	-1.103991e+02	1	2.771259e+00	6	4
442	-6.512459e+01	-1.119991e+02	1	2.771259e+00	6	2
443	-2.550567e+02	-1.068690e+02	103	4.156889e+01	90	4
444	-2.644076e+02	-1.064926e+02	291	7.112898e+01	154	8
445	-4.908208e-01	-1.079383e+02	39	3.081308e+01	54	3
446	-6.443177e+01	-1.147991e+02	1	2.771259e+00	6	2
447	-9.137694e+01	-1.103376e+02	130	4.618765e+01	100	9
448	-2.764881e+02	-1.131991e+02	5	1.000436e+01	17	2
449	-8.660185e+01	-1.155991e+02	1	2.771259e+00	6	2
450	-1.290525e+02	-1.116961e+02	33	2.771259e+01	60	6
451	-1.600402e+02	-1.155991e+02	1	2.771259e+00	6	2
452	-1.108762e+02	-1.081578e+02	295	8.683279e+01	188	11
453	-1.121016e+01	-1.083223e+02	526	8.590903e+01	186	9
454	-6.373896e+01	-1.167991e+02	1	2.771259e+00	6	3
455	-2.168510e+02	-1.171991e+02	1	2.771259e+00	6	1
456	-2.515610e+02	-1.156391e+02	10	1.293254e+01	28	2
457	-2.764881e+02	-1.171991e+02	1	3.109376e+00	5	2
458	-6.373896e+01	-1.175991e+02	1	2.771259e+00	6	4
459	-8.660185e+01	-1.179991e+02	1	2.771259e+00	6	2
460	-2.355314e+02	-1.141769e+02	27	2.771259e+01	60	3
461	-6.373896e+01	-1.183991e+02	1	2.771259e+00	6	4
462	-1.650898e+02	-1.065301e+02	617	8.960404e+01	194	11
463	-2.489499e+02	-1.040882e+02	866	1.721562e+02	371	15
464	-2.901532e-01	-1.170144e+02	12	1.357562e+01	24	5
465	-6.373896e+01	-1.191990e+02	1	2.771259e+00	6	3
466	-9.413832e+01	-1.162625e+02	41	2.678884e+01	58	5
467	-1.062316e+01	-1.178657e+02	99	5.080642e+01	110	5
468	-2.722762e+02	-1.203990e+02	1	2.771259e+00	6	3
469	-6.304614e+01	-1.211990e+02	1	2.771259e+00	6	2
470	-1.395731e+02	-9.548272e+01	1847	3.122285e+02	760	34
471	-2.404191e+02	-1.142015e+02	168	4.988266e+01	108	6
472	-2.751599e+02	-1.196550e+02	16	1.659439e+01	32	5
473	-1.298009e+01	-1.207402e+02	34	2.586508e+01	56	4
474	-2.660031e+02	-1.184071e+02	198	7.134334e+01	152	9
475	-2.757241e+02	-1.217464e+02	9	1.025188e+01	19	2
476	-6.532254e+00	-1.208847e+02	28	2.956010e+01	64	5
477	-1.833010e+02	-1.098929e+02	437	1.182404e+02	256	6
478	-2.549558e+02	-1.231990e+02	1	2.771259e+00	6	4
479	-1.628115e+02	-1.243990e+02	1	2.771259e+00	6	3
480	-2.570343e+02	-1.243990e+02	1	2.771259e+00	6	2
481	-2.626814e+02	-1.226179e+02	53	4.341639e+01	94	6
482	-2.608448e+02	-1.245990e+02	2	4.618765e+00	10	2
483	-1.464930e+02	-1.173579e+02	204	6.743397e+01	146	5
484	-9.214437e+01	-1.267990e+02	1	2.771259e+00	6	1
485	-2.015415e+02	-1.214917e+02	41	5.542518e+01	120	2
486	-2.495565e+02	-1.204924e+02	150	4.526390e+01	98	8
487	-1.129288e+02	-1.291990e+02	1	2.771259e+00	6	2
488	-2.554070e+02	-1.264176e+02	43	2.309383e+01	50	6
489	-3.048385e+01	-1.295990e+02	1	2.771259e+00	6	2
490	-4.195308e+01	-1.027832e+02	1100	1.588855e+02	344	11
491	-6.096770e+01	-1.295990e+02	1	2.771259e+00	6	3
492	-1.021506e+02	-1.240447e+02	140	5.265392e+01	114	5
493	-1.123326e+02	-1.180697e+02	538	9.514656e+01	206	7
494	-5.446477e+00	-1.249082e+02	156	4.645945e+01	93	4
495	-2.943345e+01	-1.148240e+02	868	1.210116e+02	277	13
496	-6.096770e+01	-1.303990e+02	1	2.771259e+00	6	3
497	-9.145155e+01	-1.303990e+02	1	2.771259e+00	6	3
498	-1.503408e+02	-1.307990e+02	1	2.771259e+00	6	2
499	-1.531121e+02	-1.307990e+02	1	2.771259e+00	6	2
500	-4.042238e+00	-1.290288e+02	31	2.792695e+01	58	3
501	-5.419856e+01	-1.230416e+02	61	4.988266e+01	108	3
502	-9.145155e+01	-1.311989e+02	1	2.771259e+00	6	3
503	-1.542439e+02	-1.228344e+02	475	8.498528e+01	184	10
504	-1.837349e+02	-1.167612e+02	633	1.478005e+02	320	8
505	-3.907838e+00	-1.308366e+02	28	2.515569e+01	52	3
