,#grainID,x,y,grainSize,perimeter,boundarySize,numNeighbors,h(Gpa)
283,158.0,-0.6360931,-33.97868,3.0,6.804388,13.0,1.0,0.0
284,159.0,-3.464074,-34.79972,1.0,2.771259,6.0,1.0,0.0
285,160.0,-5.542518,-35.19972,1.0,2.771259,6.0,1.0,0.0
286,162.0,-159.5783,-28.57501,210.0,87.75654,190.0,3.0,0.0
287,163.0,-181.2096,-34.5775,9.0,12.00879,26.0,5.0,0.0
288,165.0,-263.2696,-35.99971,1.0,2.771259,6.0,2.0,0.0
289,166.0,-111.8434,-15.86854,565.0,128.5254,266.0,14.0,0.0
290,167.0,-109.9023,-35.53656,19.0,17.55131,38.0,3.0,0.0
291,168.0,-205.6693,-32.06486,43.0,36.02637,78.0,4.0,0.0
292,169.0,-43.96052,-30.1477,73.0,44.34015,96.0,5.0,0.0
293,170.0,-78.98088,-37.5997,1.0,2.771259,6.0,3.0,0.0
294,171.0,-79.6737,-37.9997,1.0,2.771259,6.0,3.0,0.0
295,172.0,-78.98088,-38.39969,1.0,2.771259,6.0,3.0,0.0
296,173.0,-170.2345,-33.20608,63.0,37.87387,82.0,6.0,0.0
297,175.0,-98.70025,-35.88628,67.0,35.10262,76.0,4.0,0.0
298,176.0,-115.7001,-39.59968,1.0,2.771259,6.0,1.0,0.0
299,177.0,-168.4339,-36.75355,26.0,21.24632,46.0,5.0,0.0
300,179.0,-82.44496,-40.39968,1.0,2.771259,6.0,2.0,0.0
301,180.0,-171.3562,-39.33302,12.0,15.7038,34.0,5.0,0.0
302,181.0,-78.98088,-40.79967,1.0,2.771259,6.0,1.0,0.0
303,182.0,-93.87032,-34.96814,57.0,38.79763,84.0,5.0,0.0
304,184.0,-135.6823,-38.8839,19.0,27.71259,60.0,1.0,0.0
305,185.0,-176.9449,-38.99969,20.0,18.47506,40.0,3.0,0.0
306,186.0,-257.0343,-39.10936,31.0,28.63634,62.0,3.0,0.0
307,187.0,-78.28807,-42.79966,1.0,2.771259,6.0,1.0,0.0
308,188.0,-115.0073,-42.39966,1.0,2.771259,6.0,2.0,0.0
309,189.0,-44.34015,-43.19965,1.0,2.771259,6.0,1.0,0.0
310,190.0,-179.2015,-38.73112,35.0,26.78884,58.0,6.0,0.0
311,191.0,-81.54837,-41.90555,17.0,16.62755,36.0,3.0,0.0
312,192.0,-160.733,-43.99965,1.0,2.771259,6.0,1.0,0.0
313,193.0,-52.66596,-35.71882,403.0,74.824,162.0,5.0,0.0
314,194.0,-173.9718,-41.7301,46.0,26.78884,58.0,6.0,0.0
315,195.0,-185.7177,-39.72468,48.0,41.56889,90.0,2.0,0.0
316,196.0,-76.90244,-46.79963,1.0,2.771259,6.0,3.0,0.0
317,197.0,-77.59525,-46.39963,1.0,2.771259,6.0,4.0,0.0
318,198.0,-68.42382,-38.57762,290.0,66.51022,144.0,9.0,0.0
319,199.0,-73.57693,-44.23965,20.0,21.24632,46.0,2.0,0.0
320,200.0,-77.59525,-47.19962,1.0,2.771259,6.0,5.0,0.0
321,201.0,-78.63448,-46.99962,4.0,6.466271,14.0,5.0,0.0
322,202.0,-30.17542,-30.55524,602.0,109.9266,238.0,4.0,0.0
323,203.0,-77.59525,-47.99962,1.0,2.771259,6.0,4.0,0.0
324,205.0,-76.90244,-49.19961,1.0,2.771259,6.0,3.0,0.0
325,206.0,-77.59525,-48.79961,1.0,2.771259,6.0,3.0,0.0
326,207.0,-76.90244,-49.9996,1.0,2.771259,6.0,3.0,0.0
327,208.0,-105.2171,-46.42344,84.0,40.64513,88.0,2.0,0.0
328,209.0,-269.4795,-41.80884,109.0,54.50143,118.0,2.0,0.0
329,210.0,-76.90244,-50.79959,1.0,2.771259,6.0,2.0,0.0
330,212.0,-177.4843,-46.69963,28.0,23.09383,50.0,5.0,0.0
331,213.0,-256.8033,-49.33294,6.0,11.08504,24.0,4.0,0.0
332,214.0,-38.79763,-51.19959,1.0,2.771259,6.0,1.0,0.0
333,215.0,-127.755,-49.6796,10.0,13.8563,30.0,3.0,0.0
334,216.0,-168.3891,-46.96165,79.0,51.73017,119.0,6.0,0.0
335,217.0,-256.3415,-51.19959,1.0,2.771259,6.0,3.0,0.0
336,218.0,-4.357417,-39.37606,438.0,117.2989,244.0,15.0,0.0
337,219.0,-76.90244,-52.39958,1.0,2.771259,6.0,1.0,0.0
