# rg size
9.811313393975829911e+00 4.400000000000000000e+01
2.042319558247539302e+00 1.900000000000000000e+01
1.665789253549706528e+00 4.000000000000000000e+00
1.218202382049190735e+00 6.000000000000000000e+00
1.377423439541322381e+01 5.750000000000000000e+02
1.642594870732449408e+01 1.700000000000000000e+01
1.591850815780405526e+01 3.000000000000000000e+00
1.643061895735047173e+01 1.700000000000000000e+01
1.634092845730083710e+01 5.000000000000000000e+00
3.495661338303854393e+00 5.200000000000000000e+01
1.339333327753835867e+01 5.770000000000000000e+02
9.957978534251436642e+00 1.400000000000000000e+01
2.591019877162734186e+00 3.200000000000000000e+01
2.412038565817055336e+00 2.900000000000000000e+01
1.220261908772063864e+00 3.000000000000000000e+00
1.506259361200594782e+01 4.000000000000000000e+00
8.354589463507734459e-01 3.000000000000000000e+00
1.463036253272443243e+00 6.000000000000000000e+00
1.385072134675917255e+01 5.870000000000000000e+02
1.655304166081901585e+01 1.900000000000000000e+01
1.645756733982576137e+01 2.100000000000000000e+01
1.647778769785412578e+01 5.000000000000000000e+00
9.914930292328424599e+00 6.200000000000000000e+01
1.662925827310710858e+01 1.200000000000000000e+01
1.336238221813398752e+01 5.700000000000000000e+02
9.744675760199198677e+00 5.900000000000000000e+01
4.212593624494513911e+00 3.400000000000000000e+01
8.462160137932253079e-01 3.000000000000000000e+00
1.400893602485217881e+00 7.000000000000000000e+00
1.390033007812798793e+01 5.830000000000000000e+02
1.598787005869738209e+01 1.500000000000000000e+01
1.658100837306912467e+01 1.900000000000000000e+01
1.663705361821274309e+01 5.000000000000000000e+00
1.068132408899047192e+01 7.000000000000000000e+01
1.817656937501374159e+01 9.000000000000000000e+00
1.339001264703510152e+01 5.690000000000000000e+02
9.647448832272194963e+00 2.600000000000000000e+01
5.244343673029858266e+00 3.700000000000000000e+01
8.396738717436700306e-01 3.000000000000000000e+00
1.411297531610544942e+00 8.000000000000000000e+00
1.393197753779196546e+01 5.960000000000000000e+02
1.044916952007172561e+01 9.300000000000000000e+01
1.397392236190084525e+01 4.860000000000000000e+02
1.742720381519706407e+01 1.100000000000000000e+01
1.745080043991583807e+01 2.000000000000000000e+00
1.228600462251778325e+00 8.000000000000000000e+00
3.099476444073581582e+00 3.000000000000000000e+01
5.126418042064305070e+00 6.500000000000000000e+01
1.382858829601414108e+01 5.920000000000000000e+02
1.317378897093891865e+01 5.240000000000000000e+02
1.546005257468852889e+01 7.000000000000000000e+00
1.709497421885728841e+01 5.000000000000000000e+00
1.016138602089364973e+01 3.300000000000000000e+01
3.154719767225680371e+00 1.900000000000000000e+01
7.299507073690146619e+00 4.200000000000000000e+01
8.983066177412080577e+00 1.400000000000000000e+01
1.380599000383515396e+01 5.770000000000000000e+02
1.383896955139197793e+01 5.730000000000000000e+02
1.012921542194780677e+01 8.500000000000000000e+01
3.447307916198239841e+00 4.400000000000000000e+01
1.280711861731738344e+00 7.000000000000000000e+00
1.060479274990061072e+01 8.000000000000000000e+00
1.384571835951259011e+01 5.570000000000000000e+02
1.013232976420445475e+01 1.450000000000000000e+02
1.387260611645862340e+01 5.670000000000000000e+02
3.761546338391414057e+00 4.700000000000000000e+01
8.202888248796434967e-01 3.000000000000000000e+00
1.112195580657620653e+01 6.000000000000000000e+00
1.071988986922866705e+00 4.000000000000000000e+00
8.354288417515075560e-01 3.000000000000000000e+00
1.388951795164025071e+01 4.920000000000000000e+02
1.293965807186177841e+01 2.820000000000000000e+02
1.113944552875863714e+01 4.140000000000000000e+02
1.367730602199538126e+01 5.120000000000000000e+02
4.009723250203086842e+00 2.300000000000000000e+01
7.245398752542097087e-01 2.000000000000000000e+00
1.165542232003564438e+00 4.000000000000000000e+00
8.472746972019576939e-01 3.000000000000000000e+00
1.457204527248640780e+01 4.530000000000000000e+02
1.095269023416778076e+01 1.170000000000000000e+02
1.204044222945362108e+01 1.990000000000000000e+02
1.412521588547705598e+01 3.450000000000000000e+02
7.328564825393993898e-01 2.000000000000000000e+00
8.643820130124902690e+00 2.040000000000000000e+02
1.279375894629288091e+01 1.310000000000000000e+02
3.747761110055548794e+00 3.500000000000000000e+01
3.953471710719342891e+00 3.100000000000000000e+01
6.804654887158798626e-01 2.000000000000000000e+00
1.207893646716853064e+00 5.000000000000000000e+00
