# time ep bcc_intrp hcp_intrp
1.732499999999999929e+01 9.787256128439687786e-02 8.605539597915685956e-02 2.563435190424730448e-01
1.733999999999999986e+01 9.802177217053670288e-02 8.521079498197298152e-02 2.565871400343176512e-01
1.735500000000000043e+01 9.823054844561708576e-02 8.438749343430881900e-02 2.566884889392053726e-01
1.737000000000000099e+01 9.847660415931652755e-02 8.362986510583333977e-02 2.566437286486573655e-01
1.738500000000000156e+01 9.869388968988140887e-02 8.296493107266579570e-02 2.564588990860359741e-01
1.739999999999999858e+01 9.888493854785418424e-02 8.239977204008054612e-02 2.561517380791170639e-01
1.741499999999999915e+01 9.906235317369876947e-02 8.192216827639969834e-02 2.557515553738406999e-01
1.742999999999999972e+01 9.921429388799314630e-02 8.150412920321242760e-02 2.552971417431549317e-01
1.744500000000000028e+01 9.937420043717942741e-02 8.110727865786149238e-02 2.548332584895495190e-01
1.746000000000000085e+01 9.955130228872846598e-02 8.068899947365128222e-02 2.544063517789503792e-01
1.747500000000000142e+01 9.973917613561099349e-02 8.020862999518611758e-02 2.540599289332322597e-01
1.748999999999999844e+01 1.000123557421612325e-01 7.963327714591243722e-02 2.538299517027676200e-01
1.750499999999999901e+01 1.003308456882023442e-01 7.894267313164299305e-02 2.537408421354553911e-01
1.751999999999999957e+01 1.005640936840967586e-01 7.813222813105573372e-02 2.538029884426614702e-01
1.753500000000000014e+01 1.007249552695296813e-01 7.721355242083022263e-02 2.540124982358791250e-01
1.755000000000000071e+01 1.009492229583559553e-01 7.621240703747397816e-02 2.543532418612078350e-01
1.756500000000000128e+01 1.011730626209287331e-01 7.516483000974358286e-02 2.548004219667652226e-01
1.757999999999999829e+01 1.012628684734828977e-01 7.411248390060476421e-02 2.553245838884335428e-01
1.759499999999999886e+01 1.013421789363927739e-01 7.309801348993179293e-02 2.558952402175491136e-01
1.760999999999999943e+01 1.014963940228942596e-01 7.216082670198825655e-02 2.564837403075974631e-01
1.762500000000000000e+01 1.016484487763848199e-01 7.133361043963702686e-02 2.570652956541610856e-01
1.764000000000000057e+01 1.017965650030104863e-01 7.064003058877812991e-02 2.576201186045772862e-01
1.765500000000000114e+01 1.020125905529824795e-01 7.009407059416840335e-02 2.581336366582292485e-01
1.767000000000000171e+01 1.021644433565282589e-01 6.970106416037163966e-02 2.585958801314428013e-01
1.768499999999999872e+01 1.021349954623364531e-01 6.945985166994614324e-02 2.590003691415314058e-01
1.769999999999999929e+01 1.022548876628983916e-01 6.936509584999586697e-02 2.593429646130803179e-01
1.771499999999999986e+01 1.027408126116685361e-01 6.940888502352129952e-02 2.596210868867105392e-01
1.773000000000000043e+01 1.032284850326629089e-01 6.958120425084350635e-02 2.598334904872026119e-01
1.774500000000000099e+01 1.034402602115866709e-01 6.986939154637533678e-02 2.599805254591151527e-01
1.776000000000000156e+01 1.035667746366951830e-01 7.025711054058859928e-02 2.600646094979188194e-01
1.777499999999999858e+01 1.037976480265849211e-01 7.072352579003378381e-02 2.600905615515549663e-01
1.778999999999999915e+01 1.040572222361829946e-01 7.124320302255433834e-02 2.600655527381960375e-01
1.780499999999999972e+01 1.041997415055660459e-01 7.178689015318767686e-02 2.599986558907635414e-01
1.782000000000000028e+01 1.042672000664123244e-01 7.232302888037964173e-02 2.599001676755346990e-01
1.783500000000000085e+01 1.044027111631039006e-01 7.281976913890586545e-02 2.597809242579241507e-01
1.785000000000000142e+01 1.045792672662862188e-01 7.324731749625816579e-02 2.596517556749163846e-01
1.786499999999999844e+01 1.046834579297269557e-01 7.358042347009838280e-02 2.595231255791823899e-01
1.787999999999999901e+01 1.047175433288418528e-01 7.380060772553934112e-02 2.594049482452800426e-01
1.789499999999999957e+01 1.046980222840817876e-01 7.389754133191404895e-02 2.593065561964146282e-01
1.791000000000000014e+01 1.046655456791805716e-01 7.386909065656326046e-02 2.592367642156437890e-01
1.792500000000000071e+01 1.047768473597549821e-01 7.372001962915598894e-02 2.592039133519222216e-01
1.794000000000000128e+01 1.050319440800677601e-01 7.345988589165496074e-02 2.592157040971126980e-01
1.795499999999999829e+01 1.052501394703051624e-01 7.310089311974950210e-02 2.592785929710571535e-01
1.796999999999999886e+01 1.054563858315117619e-01 7.265628355146837303e-02 2.593965822569883617e-01
1.798499999999999943e+01 1.057532740304479302e-01 7.213948591984939429e-02 2.595694134995066293e-01
