# itime ezz other fcc hcp bcc cubicDiamond hexDiamond
3.510000000000000000e+06 1.754284829424044567e-01 3.190476190476190244e-01 4.585714285714285743e-01 2.223809523809523736e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.610000000000000000e+06 1.804264454193960365e-01 3.180036630036630063e-01 4.653663003663003894e-01 2.166300366300366320e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.710000000000000000e+06 1.854244078963876163e-01 3.088827838827838956e-01 4.838095238095238004e-01 2.073076923076923039e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.810000000000000000e+06 1.904223703733791961e-01 3.103479853479853556e-01 4.848901098901098883e-01 2.047619047619047561e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.910000000000000000e+06 1.954203328503707759e-01 3.090659340659340781e-01 4.960622710622710763e-01 1.948717948717948734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.010000000000000000e+06 2.004182953273623558e-01 2.963186813186813318e-01 5.036263736263736357e-01 2.000549450549450603e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.110000000000000000e+06 2.054162578043539356e-01 2.964835164835165071e-01 5.125091575091574869e-01 1.910073260073260060e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.210000000000000000e+06 2.104142202813455154e-01 2.935531135531135316e-01 5.223809523809523903e-01 1.840659340659340781e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.310000000000000000e+06 2.154121827583370952e-01 2.979670329670329743e-01 5.207326007326007478e-01 1.813003663003663057e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.410000000000000000e+06 2.204101452353286750e-01 2.983516483516483464e-01 5.249084249084249310e-01 1.767399267399267504e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.510000000000000000e+06 2.254081077123202548e-01 3.068681318681318881e-01 5.209523809523809446e-01 1.721794871794871673e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.610000000000000000e+06 2.304060701893118346e-01 2.926190476190476120e-01 5.154945054945054839e-01 1.918864468864468764e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.710000000000000000e+06 2.354040326663034144e-01 2.761721611721611458e-01 5.264285714285714679e-01 1.973992673992673863e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
