# itime ezz other fcc hcp bcc ico
1.170000000000000000e+03 4.679979202893538304e-01 9.908966772872098705e-01 1.706873008648156654e-03 5.348202093764223633e-03 1.820664542558033706e-03 2.275830678197542133e-04
1.200000000000000000e+03 4.799978669634399342e-01 9.895311788802912956e-01 1.365498406918525280e-03 7.055075102412380721e-03 1.365498406918525280e-03 6.827492034592626399e-04
1.230000000000000000e+03 4.919978136375258160e-01 9.920345926263085534e-01 6.827492034592626399e-04 5.006827492034592909e-03 1.706873008648156654e-03 5.689576695493854790e-04
1.260000000000000000e+03 5.039977603116119198e-01 9.914656349567592120e-01 9.103322712790168532e-04 5.348202093764223633e-03 1.706873008648156654e-03 5.689576695493854790e-04
1.290000000000000000e+03 5.159977069856978016e-01 9.922621756941283344e-01 7.965407373691396923e-04 5.006827492034592909e-03 1.365498406918525280e-03 5.689576695493854790e-04
1.320000000000000000e+03 5.279976536597839054e-01 9.938552571688666903e-01 1.137915339098770958e-03 3.072371415566681717e-03 1.593081474738279385e-03 3.413746017296313199e-04
1.350000000000000000e+03 5.399976003338697872e-01 9.949931725079653733e-01 4.551661356395084266e-04 2.617205279927173507e-03 1.365498406918525280e-03 5.689576695493854790e-04
1.380000000000000000e+03 5.519975470079558910e-01 9.960172963131542767e-01 5.689576695493854790e-04 2.503413746017296455e-03 3.413746017296313199e-04 5.689576695493854790e-04
1.410000000000000000e+03 5.639974936820417728e-01 9.965862539827037292e-01 6.827492034592626399e-04 2.275830678197541916e-03 1.137915339098771066e-04 3.413746017296313199e-04
1.440000000000000000e+03 5.759974403561278766e-01 9.949931725079653733e-01 1.137915339098770958e-03 2.958579881656804664e-03 6.827492034592626399e-04 2.275830678197542133e-04
1.470000000000000000e+03 5.879973870302137584e-01 9.954483386436049352e-01 1.137915339098770958e-03 2.162039144287664864e-03 5.689576695493854790e-04 6.827492034592626399e-04
1.500000000000000000e+03 5.999973337042998622e-01 9.952207555757851543e-01 9.103322712790168532e-04 2.844788347746927612e-03 7.965407373691396923e-04 2.275830678197542133e-04
